Datetime,Tweet
2016-12-30 19:57:52+00:00,"@Uber_Support my uber driver said Lebron , I'm disgusted and I will never uber again."
2016-12-30 19:09:21+00:00,"I ain't a snitch boi, kick rocks ya narc"
2016-12-30 17:40:01+00:00,My uber driver made me sit in the bed of his truck @Uber_Support 
2016-12-30 15:50:57+00:00,Second most popular insight 2016 @Uber_Support vs @AskLyft The Battle of Ride Sharing Customer Service on @Twitter
2016-12-30 14:45:33+00:00,no thanks you can shove your rip off explanation where the sun don't shine
2016-12-30 10:48:16+00:00,@The_LCDC @Uber_Support wait until they get rid of all the competition you'll know what surge means then
2016-12-30 10:03:59+00:00,@RomellDawkins @Uber_Support they already know U are going to rip em off they just want to know by how much 
2016-12-30 09:08:06+00:00,"@The_LCDC @Uber_Support use @Hailo instead, fixed fare as well"
2016-12-30 09:07:18+00:00,"DON'T Be A FOOL,Fiona Book a REAL Taxi...( Black Cab )"
2016-12-30 08:08:31+00:00,So now @UberINSupport isn't interested in providing any support? Even DM isn't being replied back. @uber @Uber_Support 
2016-12-30 07:57:18+00:00,#Boycot @Uber The dynamic pricing started from Dec 15th is cheating the customers. @Uber_Support is arrogant and pathetic.
2016-12-30 00:48:15+00:00,".@Uber_Support Is it possible to add ""Driver was lost"" or ""Driver took wrong turn"" as reasons for cancellation fee refund?"
2016-12-30 00:48:13+00:00,"Lady just called back and said ""we do...not have your ID!"" Like fucking Maury. You're up @Uber_Support "
2016-12-29 21:45:48+00:00,My uber is taking long and unnecessary detours and turns and it's really pissing me off @Uber @Uber_Support
2016-12-29 19:05:13+00:00,@imageexec @Uber_Support don't risk it #staysafe
2016-12-29 18:10:38+00:00,"@Uber_Support looking for help prebooking a journey due in Jan, want to prebook for London but unable to? Can someone help?"
2016-12-28 22:59:10+00:00,that is why they keep calling after accepting to check where you are going before they move their car :/
2016-12-28 22:36:49+00:00,that is good to know so I was wrong. Thanks
2016-12-28 22:19:27+00:00,"@Uber_Support EXCUSE ME, my last driver got out the car and wouldn't drive me until I took this pic of him!? Switching to Lyft ASAP "
2016-12-28 09:28:41+00:00,@Uber_Support Can you get out of our group chat please
2016-12-30 23:58:42+00:00,This is awful @UberFR_support @Uber_Support why aren't you helping your customer stranded in Paris? 
2016-12-30 23:46:33+00:00,We'd like to help! Please send a note to http://t.uber.com/contact or via in app support so we can do so. Thanks!
2016-12-30 23:41:05+00:00,"That's not what we like to hear. Please tap the ""help"" button in the app and we can look into this."
2016-12-30 18:40:14+00:00,".@Uber_Support, I just got a push notice that my issue was resolved and NOTHING has changed! I STILL have the same problem. #NoResolved!"
2016-12-30 17:41:24+00:00,I never knew it was so hard to charge the right card!!!! @Uber_Support your customer service reps are terrible!!!
2016-12-30 12:27:35+00:00,It's 2016 @Uber_Support @Uber ! Send a verification email before letting drunk randos sign up for your shitty service.
2016-12-30 09:16:43+00:00,Go home @Uber you're drunk AF. @Uber_Support @Uber_India This is why I have trust issues 
2016-12-30 03:57:26+00:00,@Uber_Support .So I paid 100 rs in total.Please return my 50 rs 2 my Paytm ac.I didn't realise the money has been paid via Paytm.(2)
2016-12-30 03:57:00+00:00,@Uber_Support In my ride the bill was of 50 rs.Which got paid automatically 4m PayTM ac &amp; by mistakely I also paid 50 rs in cash. (1)
2016-12-29 16:06:28+00:00,. @Uber_Support @Uber why did you stop working halfway through my trip? Day 3 of errors. Customer support can't resolve this. Ugh!
2016-12-29 15:18:41+00:00,Thank you @Uber_Support for helping me close out my 2016 business expenses with synthesized ride reports! #timesaver #ubersuperuser
2016-12-29 09:35:49+00:00,"@Uber_Support @Uber Help needed cannot get uber, tried sign-up and not able. Malaysian needing uber in Australia"
2016-12-29 01:49:10+00:00,I'm in shambles
2016-12-29 01:31:53+00:00,"I've been using @Uber since back when you were only black cars, and would never dream of using Lyft. @MIKEFINDLAY22 @Uber_Support"
2016-12-28 22:59:49+00:00,so thinking more about it I realized that they are calling to ask your destination before moving their car. What to do?
2016-12-28 22:50:04+00:00,why does it take over 4 hours for follow up with for a sexual harassment case when for lesser issues it's been resolved in 1hr
2016-12-28 17:32:53+00:00,Are you going to ignore this @Uber_Support 
2016-12-28 12:12:39+00:00,My first 100 stars. Its told us how i treat the passangers @Uber_Support 
2016-12-28 10:47:20+00:00,"Hmm, let's chat further. Please DM us your email address and details and we'll follow up."
2016-12-28 06:06:58+00:00,#WoW #CustomerExperience . Didn't even raise a query with @Uber_Support 
2016-12-28 02:51:21+00:00,"I'm no snitch, miss me with that shit"
2016-12-28 02:13:06+00:00,God bless any person who has to deal with @Uber_Support - so clueless
2016-12-28 01:38:12+00:00,"agreed. I live in sterling off 606, call and uber, guaranteed to get a call back"
2016-12-28 01:24:15+00:00,I know @Uber_Support is nice
2016-12-28 01:18:03+00:00,happens at IAD all the time. I’ve written to @Uber_Support multiple times and have been ignored.
2016-12-27 23:09:44+00:00,your email staff was not able to resolve this. Can you please provide me with a phone number?
2016-12-27 21:36:52+00:00,forming? Been happening since even before the TNCs were legal at airport. @Uber_DC @Uber_Support does not care
2016-12-27 20:45:40+00:00,"I've never NOT* had an Uber @Uber_Support driver @DCA not call and where going, why I stick to Lyft"
2016-12-27 17:41:16+00:00,@Uber_Support I used your Amex coupon code and even though the app says $0 for the fare you still charged my credit card the full amount
2016-12-27 17:35:05+00:00,Wouldn't use @Uber_Support again in a millions years !!! £62 fare from Leeds to Bradford are you crazy !!! 
2016-12-27 15:56:28+00:00,Can you explain how my journey on the way to town cost me £11.57 but the way back cost me £84.90? @Uber_Support 
2016-12-27 08:23:08+00:00,"Quoted an @Uber ride at $60. They billed me $103, including two bridge tolls. Anyone else have these issues? Care to explain @Uber_Support?"
2016-12-27 04:32:13+00:00,@Uber_Support hello it says my account is not active but all my documents are in order can you help? 
2016-12-26 17:47:23+00:00,And I know no one cares *watches follower count drop dramatically* @Uber @Uber_Support
2016-12-26 15:38:38+00:00,this is stealing!
2016-12-26 15:27:58+00:00,Jesus come! Unbelievable @RadioCitizenFM @wilbrodanyamin @JeridahAndayi @Uber_Support @uber_kenya
2016-12-24 21:02:08+00:00,"Yo @Uber_Support, yr girl Steph is (very politely) trying to tell me I'm illiterate and tbh I've had enough gaslighting for the year, thanks"
2016-12-24 17:39:56+00:00,I'd like to tell @Uber_Support @Uber you're the most stupid app ever. What nonsense
